,Time,Peaks Amplitude,Intervals
MeanVar1,548.52725,0.5850912192053013,0.19524999999998727
MeanVar1,548.7225,0.5922288774876461,0.1915000000000191
MeanVar1,548.914,0.5623276399832409,0.19425000000001091
MeanVar1,549.10825,0.554676580938641,0.19399999999995998
MeanVar1,549.30225,0.5913874707979385,0.19125000000008185
MeanVar1,549.4935,0.5663344190947959,0.19499999999993634
MeanVar1,549.6885,0.6038746486666087,0.1922500000000582
MeanVar1,549.88075,0.6089927616854897,0.19375000000002274
MeanVar1,550.0745000000001,0.5454591396629587,0.1934999999999718
MeanVar1,550.268,0.5923858646964815,0.19174999999995634
MeanVar1,550.45975,0.5655960961124871,0.19500000000005002
MeanVar1,550.65475,0.5755776519254716,0.1915000000000191
MeanVar1,550.84625,0.5891666824850689,0.19449999999994816
MeanVar1,551.04075,0.5878276166287706,0.19325000000003456
MeanVar1,551.234,0.5789161851056581,0.1915000000000191
MeanVar1,551.4255,0.5601412676913665,0.1947499999999991
MeanVar1,551.62025,0.5783677160961763,0.19124999999996817
MeanVar1,551.8115,0.5751581221874725,0.19499999999993634
MeanVar1,552.0065,0.5672547097617953,0.19375000000002274
MeanVar1,552.20025,0.6180160967179977,0.19125000000008185
MeanVar1,552.3915000000001,0.5493043527086245,0.1947499999999991
MeanVar1,552.5862500000001,0.5842711282549762,0.19074999999998
MeanVar1,552.777,0.5801593775470737,0.19524999999998727
MeanVar1,552.97225,0.5670267630296725,0.19200000000000728
MeanVar1,553.16425,0.5846207164140147,0.1934999999999718
MeanVar1,553.35775,0.5781866838577567,0.19399999999995998
MeanVar1,553.55175,0.579496359490529,0.19100000000003092
MeanVar1,553.74275,0.5640331169412195,0.19500000000005002
